EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5535972,NORTH ROCKY MOUNTAIN FRONT (ZONE), ,01/01/1996,600,Winter Storm, , ,0,0,0,0,MT,MST, ,2402853,Z,9,BYZ,0,0, , , , , , , , , ,01/01/1996,1800, , , , ,"","Seven inches of snow fell at Powderville, northeast Powder River County of southeast Montana.",1
5546437,DOUGLAS (ZONE), ,01/01/1996,2200,Winter Storm, , ,0,0,0,0,MO,CST, ,2031319,Z,96,SGF,0,0, , , , , , , , , ,01/02/1996,1700, , , , ,"","A winter storm produced heavy snow across much of southwest into central Missouri during the evening of the first into the early morning of the second.  Twelve inches of snow fell from Ava to Houston while greater than eigth inches fell from Branson to West Plains northward to Rolla.  Damage estimates were due to the cost of snow removal.",2
5546604,TANEY (ZONE), ,01/01/1996,2200,Winter Storm, , ,0,0,0,0,MO,CST, ,2031319,Z,104,SGF,0,0, , , , , , , , , ,01/02/1996,1700, , , , ,"","A winter storm produced heavy snow across much of southwest into central Missouri during the evening of the first into the early morning of the second.  Twelve inches of snow fell from Ava to Houston while greater than eigth inches fell from Branson to West Plains northward to Rolla.  Damage estimates were due to the cost of snow removal.",3
5546435,WRIGHT (ZONE), ,01/01/1996,2200,Winter Storm, , ,0,0,0,0,MO,CST, ,2031319,Z,92,SGF,0,0, , , , , , , , , ,01/02/1996,1700, , , , ,"","A winter storm produced heavy snow across much of southwest into central Missouri during the evening of the first into the early morning of the second.  Twelve inches of snow fell from Ava to Houston while greater than eigth inches fell from Branson to West Plains northward to Rolla.  Damage estimates were due to the cost of snow removal.",4
5546603,SHANNON (ZONE), ,01/01/1996,2200,Winter Storm, , ,0,0,0,0,MO,CST, ,2031319,Z,98,SGF,0,0, , , , , , , , , ,01/02/1996,1700, , , , ,"","A winter storm produced heavy snow across much of southwest into central Missouri during the evening of the first into the early morning of the second.  Twelve inches of snow fell from Ava to Houston while greater than eigth inches fell from Branson to West Plains northward to Rolla.  Damage estimates were due to the cost of snow removal.",5
5546433,DENT (ZONE), ,01/01/1996,2200,Winter Storm, , ,0,0,0,0,MO,CST, ,2031319,Z,83,SGF,0,0, , , , , , , , , ,01/02/1996,1700, , , , ,"","A winter storm produced heavy snow across much of southwest into central Missouri during the evening of the first into the early morning of the second.  Twelve inches of snow fell from Ava to Houston while greater than eigth inches fell from Branson to West Plains northward to Rolla.  Damage estimates were due to the cost of snow removal.",6
5546432,TEXAS (ZONE), ,01/01/1996,2200,Winter Storm, , ,0,0,0,0,MO,CST, ,2031319,Z,82,SGF,0,0, , , , , , , , , ,01/02/1996,1700, , , , ,"","A winter storm produced heavy snow across much of southwest into central Missouri during the evening of the first into the early morning of the second.  Twelve inches of snow fell from Ava to Houston while greater than eigth inches fell from Branson to West Plains northward to Rolla.  Damage estimates were due to the cost of snow removal.",7
5546434,WEBSTER (ZONE), ,01/01/1996,2200,Winter Storm, , ,0,0,0,0,MO,CST, ,2031319,Z,91,SGF,0,0, , , , , , , , , ,01/02/1996,1700, , , , ,"","A winter storm produced heavy snow across much of southwest into central Missouri during the evening of the first into the early morning of the second.  Twelve inches of snow fell from Ava to Houston while greater than eigth inches fell from Branson to West Plains northward to Rolla.  Damage estimates were due to the cost of snow removal.",8
5546431,LACLEDE (ZONE), ,01/01/1996,2200,Winter Storm, , ,0,0,0,0,MO,CST, ,2031319,Z,81,SGF,0,0, , , , , , , , , ,01/02/1996,1700, , , , ,"","A winter storm produced heavy snow across much of southwest into central Missouri during the evening of the first into the early morning of the second.  Twelve inches of snow fell from Ava to Houston while greater than eigth inches fell from Branson to West Plains northward to Rolla.  Damage estimates were due to the cost of snow removal.",9
5546605,OZARK (ZONE), ,01/01/1996,2200,Winter Storm, , ,0,0,0,0,MO,CST, ,2031319,Z,105,SGF,0,0, , , , , , , , , ,01/02/1996,1700, , , , ,"","A winter storm produced heavy snow across much of southwest into central Missouri during the evening of the first into the early morning of the second.  Twelve inches of snow fell from Ava to Houston while greater than eigth inches fell from Branson to West Plains northward to Rolla.  Damage estimates were due to the cost of snow removal.",10
5546438,HOWELL (ZONE), ,01/01/1996,2200,Winter Storm, , ,0,0,0,0,MO,CST, ,2031319,Z,97,SGF,0,0, , , , , , , , , ,01/02/1996,1700, , , , ,"","A winter storm produced heavy snow across much of southwest into central Missouri during the evening of the first into the early morning of the second.  Twelve inches of snow fell from Ava to Houston while greater than eigth inches fell from Branson to West Plains northward to Rolla.  Damage estimates were due to the cost of snow removal.",11
5546436,CHRISTIAN (ZONE), ,01/01/1996,2200,Winter Storm, , ,0,0,0,0,MO,CST, ,2031319,Z,95,SGF,0,0, , , , , , , , , ,01/02/1996,1700, , , , ,"","A winter storm produced heavy snow across much of southwest into central Missouri during the evening of the first into the early morning of the second.  Twelve inches of snow fell from Ava to Houston while greater than eigth inches fell from Branson to West Plains northward to Rolla.  Damage estimates were due to the cost of snow removal.",12
5546430,PHELPS (ZONE), ,01/01/1996,2200,Winter Storm, , ,0,0,0,0,MO,CST, ,2031319,Z,71,SGF,0,0, , , , , , , , , ,01/02/1996,1700, , , , ,"","A winter storm produced heavy snow across much of southwest into central Missouri during the evening of the first into the early morning of the second.  Twelve inches of snow fell from Ava to Houston while greater than eigth inches fell from Branson to West Plains northward to Rolla.  Damage estimates were due to the cost of snow removal.",13
5546429,PULASKI (ZONE), ,01/01/1996,2200,Winter Storm, , ,0,0,10000,0,MO,CST, ,2031319,Z,70,SGF,0,0, , , , , , , , , ,01/02/1996,1700, , , , ,"","A winter storm produced heavy snow across much of southwest into central Missouri during the evening of the first into the early morning of the second.  Twelve inches of snow fell from Ava to Houston while greater than eigth inches fell from Branson to West Plains northward to Rolla.  Damage estimates were due to the cost of snow removal.",14
5535755,MARTIN (ZONE), ,01/02/1996,100,Winter Storm, , ,0,0,0,0,IN,EST, ,2404357,Z,69,IND,0,0, , , , , , , , , ,01/03/1996,700, , , , ,"","The first big snowstorm of 1996 impacted all but northwest Indiana.     In central sections, snowfall amounts averaged six to twelve inches. Twenty four counties declared snow emergencies.",15
5535752,DECATUR (ZONE), ,01/02/1996,100,Winter Storm, , ,0,0,0,0,IN,EST, ,2404357,Z,65,IND,0,0, , , , , , , , , ,01/03/1996,700, , , , ,"","The first big snowstorm of 1996 impacted all but northwest Indiana.     In central sections, snowfall amounts averaged six to twelve inches. Twenty four counties declared snow emergencies.",16
5535754,DAVIESS (ZONE), ,01/02/1996,100,Winter Storm, , ,0,0,0,0,IN,EST, ,2404357,Z,68,IND,0,0, , , , , , , , , ,01/03/1996,700, , , , ,"","The first big snowstorm of 1996 impacted all but northwest Indiana.     In central sections, snowfall amounts averaged six to twelve inches. Twenty four counties declared snow emergencies.",17
5535753,KNOX (ZONE), ,01/02/1996,100,Winter Storm, , ,0,0,0,0,IN,EST, ,2404357,Z,67,IND,0,0, , , , , , , , , ,01/03/1996,700, , , , ,"","The first big snowstorm of 1996 impacted all but northwest Indiana.     In central sections, snowfall amounts averaged six to twelve inches. Twenty four counties declared snow emergencies.",18
5535750,BROWN (ZONE), ,01/02/1996,100,Winter Storm, , ,0,0,0,0,IN,EST, ,2404357,Z,63,IND,0,0, , , , , , , , , ,01/03/1996,700, , , , ,"","The first big snowstorm of 1996 impacted all but northwest Indiana.     In central sections, snowfall amounts averaged six to twelve inches. Twenty four counties declared snow emergencies.",19
5535749,MONROE (ZONE), ,01/02/1996,100,Winter Storm, , ,0,0,0,0,IN,EST, ,2404357,Z,62,IND,0,0, , , , , , , , , ,01/03/1996,700, , , , ,"","The first big snowstorm of 1996 impacted all but northwest Indiana.     In central sections, snowfall amounts averaged six to twelve inches. Twenty four counties declared snow emergencies.",20
5535547,OWEN (ZONE), ,01/02/1996,100,Winter Storm, , ,0,0,0,0,IN,EST, ,2404357,Z,53,IND,0,0, , , , , , , , , ,01/03/1996,700, , , , ,"","The first big snowstorm of 1996 impacted all but northwest Indiana.     In central sections, snowfall amounts averaged six to twelve inches. Twenty four counties declared snow emergencies.",21
5535546,CLAY (ZONE), ,01/02/1996,100,Winter Storm, , ,0,0,0,0,IN,EST, ,2404357,Z,52,IND,0,0, , , , , , , , , ,01/03/1996,700, , , , ,"","The first big snowstorm of 1996 impacted all but northwest Indiana.     In central sections, snowfall amounts averaged six to twelve inches. Twenty four counties declared snow emergencies.",22
5535545,VIGO (ZONE), ,01/02/1996,100,Winter Storm, , ,0,0,0,0,IN,EST, ,2404357,Z,51,IND,0,0, , , , , , , , , ,01/03/1996,700, , , , ,"","The first big snowstorm of 1996 impacted all but northwest Indiana.     In central sections, snowfall amounts averaged six to twelve inches. Twenty four counties declared snow emergencies.",23
5535544,HENRY (ZONE), ,01/02/1996,100,Winter Storm, , ,0,0,0,0,IN,EST, ,2404357,Z,49,IND,0,0, , , , , , , , , ,01/03/1996,700, , , , ,"","The first big snowstorm of 1996 impacted all but northwest Indiana.     In central sections, snowfall amounts averaged six to twelve inches. Twenty four counties declared snow emergencies.",24
5535532,BOONE (ZONE), ,01/02/1996,100,Winter Storm, , ,0,0,0,0,IN,EST, ,2404357,Z,37,IND,0,0, , , , , , , , , ,01/03/1996,700, , , , ,"","The first big snowstorm of 1996 impacted all but northwest Indiana.     In central sections, snowfall amounts averaged six to twelve inches. Twenty four counties declared snow emergencies.",25
5535756,LAWRENCE (ZONE), ,01/02/1996,100,Winter Storm, , ,0,0,0,0,IN,EST, ,2404357,Z,70,IND,0,0, , , , , , , , , ,01/03/1996,700, , , , ,"","The first big snowstorm of 1996 impacted all but northwest Indiana.     In central sections, snowfall amounts averaged six to twelve inches. Twenty four counties declared snow emergencies.",26
5535543,HANCOCK (ZONE), ,01/02/1996,100,Winter Storm, , ,0,0,0,0,IN,EST, ,2404357,Z,48,IND,0,0, , , , , , , , , ,01/03/1996,700, , , , ,"","The first big snowstorm of 1996 impacted all but northwest Indiana.     In central sections, snowfall amounts averaged six to twelve inches. Twenty four counties declared snow emergencies.",27
5535523,CARROLL (ZONE), ,01/02/1996,100,Winter Storm, , ,0,0,0,0,IN,EST, ,2404357,Z,21,IND,0,0, , , , , , , , , ,01/03/1996,700, , , , ,"","The first big snowstorm of 1996 impacted all but northwest Indiana.     In central sections, snowfall amounts averaged six to twelve inches. Twenty four counties declared snow emergencies.",28
5535540,PUTNAM (ZONE), ,01/02/1996,100,Winter Storm, , ,0,0,0,0,IN,EST, ,2404357,Z,45,IND,0,0, , , , , , , , , ,01/03/1996,700, , , , ,"","The first big snowstorm of 1996 impacted all but northwest Indiana.     In central sections, snowfall amounts averaged six to twelve inches. Twenty four counties declared snow emergencies.",29
5535548,MORGAN (ZONE), ,01/02/1996,100,Winter Storm, , ,0,0,0,0,IN,EST, ,2404357,Z,54,IND,0,0, , , , , , , , , ,01/03/1996,700, , , , ,"","The first big snowstorm of 1996 impacted all but northwest Indiana.     In central sections, snowfall amounts averaged six to twelve inches. Twenty four counties declared snow emergencies.",30
5535535,MADISON (ZONE), ,01/02/1996,100,Winter Storm, , ,0,0,0,0,IN,EST, ,2404357,Z,40,IND,0,0, , , , , , , , , ,01/03/1996,700, , , , ,"","The first big snowstorm of 1996 impacted all but northwest Indiana.     In central sections, snowfall amounts averaged six to twelve inches. Twenty four counties declared snow emergencies.",31
